matrix_dim, etime, flops, cores
1024, 0.000524, 1954198.473282, 8
1024, 0.000561, 1825311.942959, 8
1024, 0.000755, 1356291.390728, 8
1024, 0.000565, 1812389.380531, 8
1024, 0.000335, 3056716.417910, 8
1024, 0.000432, 2370370.370370, 8
1024, 0.000338, 3029585.798817, 8
1024, 0.000334, 3065868.263473, 8
1024, 0.000478, 2142259.414226, 8
1024, 0.000344, 2976744.186047, 8
