matrix_dim, etime, flops, cores
16384, 0.590428, 27749.361480, 8
16384, 0.603534, 27146.772179, 8
16384, 0.602901, 27175.274216, 8
16384, 0.587440, 27890.507967, 8
16384, 0.586760, 27922.830459, 8
16384, 0.582918, 28106.869234, 8
16384, 0.588495, 27840.508416, 8
16384, 0.587318, 27896.301493, 8
16384, 0.593704, 27596.243246, 8
16384, 0.610650, 26830.426595, 8
