matrix_dim, etime, flops, cores
1024, 0.000301, 3401993.355482, 8
1024, 0.000308, 3324675.324675, 8
1024, 0.000280, 3657142.857143, 8
1024, 0.000236, 4338983.050847, 8
1024, 0.000314, 3261146.496815, 8
1024, 0.000282, 3631205.673759, 8
1024, 0.000274, 3737226.277372, 8
1024, 0.000297, 3447811.447811, 8
1024, 0.000287, 3567944.250871, 8
1024, 0.000487, 2102669.404517, 8
